symbol,infinite_supply,total_supply,max_supply,name,price
BTC,False,19678893.0,21000000.0,Bitcoin,69211.27685472976
ETH,True,120070188.26799361,,Ethereum,3502.954649191575
USDT,True,110941048614.45586,,Tether USDt,0.999782542064534
BNB,False,149534640.72023,,BNB,604.1503106467278
SOL,True,573656098.5094674,,Solana,170.25234180049952
XRP,False,99987715632.0,100000000000.0,XRP,0.6102606329300075
USDC,False,32084280388.573822,,USDC,0.9999098556134984
DOGE,True,143830136383.70523,,Dogecoin,0.19511964546796948
TON,True,5105125736.417903,,Toncoin,6.767320777458161
ADA,False,36785005676.862,45000000000.0,Cardano,0.5781451540313278
AVAX,False,436600576.2141605,715748719.0,Avalanche,47.21125500270748
SHIB,False,589534086491242.2,,Shiba Inu,2.786083880637328e-05
BCH,False,19689678.125,21000000.0,Bitcoin Cash,617.1214182608138
DOT,True,1432222748.6190314,,Polkadot,8.36105492517483
TRX,True,87665206271.98204,,TRON,0.11856029873864486
LINK,False,1000000000.0,1000000000.0,Chainlink,17.22186095207271
MATIC,False,10000000000.0,10000000000.0,Polygon,0.8762286532172961
ICP,True,517311896.6475843,,Internet Computer,15.809658844343987
NEAR,False,1185344365.0,,NEAR Protocol,6.903225491615944
LTC,False,84000000.0,84000000.0,Litecoin,96.21931507410771
UNI,False,1000000000.0,1000000000.0,Uniswap,11.191592482062212
LEO,False,985239504.0,,UNUS SED LEO,5.964749800548705
DAI,True,5347888595.7464075,,Dai,1.0001923448269363
ETC,False,210700000.0,210700000.0,Ethereum Classic,33.35306860359876
APT,True,1090197222.6760132,,Aptos,12.216488734655258
FIL,False,1960629176.0,,Filecoin,8.450500001851156
STX,False,1818000000.0,1818000000.0,Stacks,3.106218004056561
MNT,False,6219316794.99,6219316795.0,Mantle,1.3278216678104
ATOM,True,390930671.0,,Cosmos,10.734820802932513
ARB,False,10000000000.0,,Arbitrum,1.4654220761154997
CRO,False,30000000000.0,30263013692.0,Cronos,0.1444023012030261
TAO,False,6572572.0,21000000.0,Bittensor,570.8189541296555
IMX,False,2000000000.0,2000000000.0,Immutable,2.616889034338426
XLM,False,50001787000.70905,50001806812.0,Stellar,0.12876690576081645
WIF,False,998920172.89,,dogwifhat,3.585721654420711
RNDR,False,532065943.5728149,536870912.0,Render,9.188451770483288
OKB,False,300000000.0,,OKB,57.11339468101406
HBAR,False,50000000000.0,50000000000.0,Hedera,0.1014281377741365
FDUSD,False,3298025456.83,,First Digital USD,0.999260365874522
KAS,False,23294461845.58623,28700000000.0,Kaspa,0.1381948701552696
VET,False,85985041177.0,86712634466.0,VeChain,0.04396677950633693
MKR,False,977631.03695089,1005577.0,Maker,3401.1036517077055
GRT,False,10796294691.797525,,The Graph,0.32512713680905037
OP,False,4294967296.0,4294967296.0,Optimism,3.0408178951041585
INJ,False,100000000.0,,Injective,32.74452146465247
PEPE,False,420689899999994.8,420690000000000.0,Pepe,7.109126580291489e-06
THETA,False,1000000000.0,1000000000.0,Theta Network,2.8337977719752674
FTM,False,3175000000.0,3175000000.0,Fantom,0.981855111110637
XMR,True,18421819.54117752,,Monero,134.37358028995408
RUNE,False,414262790.0,,THORChain,7.240650115758831
